age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,name,outcome_subtype,outcome_type,sex_upon_outcome
4 days,A675190,Other,Opossum Mix,Pink,2014-03-20T00:00:00,2014-03-24T18:52:00,Lucy,Suffering,Euthanasia,Unknown
2 years,A673142,Other,Rat,Tan/White,2012-02-19T00:00:00,2014-02-19T18:21:00,Lucy,Suffering,Euthanasia,Intact Female
10 years,A662170,Cat,Domestic Shorthair Mix,Brown Tabby,2004-01-01T00:00:00,2014-01-17T17:51:00,Felix,partner,Adoption,Neutered Male
10 months,A673866,Dog,Chihuahua Shorthair Mix,Red/White,2013-05-03T00:00:00,2014-03-06T15:23:00,Lucy,Partner,Transfer,Intact Male
1 year,A685573,Dog,Redbone Hound Mix,Tan/White,2013-08-09T00:00:00,2014-08-21T14:37:00,*Lucas,partner,Adoption,Neutered Male
5 years,A673083,Dog,Maltese,White,2009-02-19T00:00:00,2014-03-06T16:38:00,*Vigo,partner,Adoption,Neutered Male
1 year,A675464,Other,Opossum Mix,Gray/White,2013-03-28T00:00:00,2014-04-12T14:55:00,Lucy,Suffering,Euthanasia,Intact Male
2 years,A670564,Dog,Australian Cattle Dog Mix,Brown Brindle,2012-01-10T00:00:00,2014-04-20T18:55:00,*Marty,partner,Adoption,Neutered Male
1 month,A686631,Dog,Border Collie Mix,Chocolate/White,2014-06-27T00:00:00,2014-08-27T19:00:00,Kasey,partner,Adoption,Spayed Female
2 months,A662761,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-08-17T00:00:00,2013-10-28T18:10:00,Petunia,partner,Adoption,Spayed Female
1 year,A676862,Other,Raccoon,Gray/Black,2013-04-16T00:00:00,2014-04-16T09:50:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 years,A677844,Dog,Dachshund/Chihuahua Shorthair,Red/White,2012-04-30T00:00:00,2014-04-30T13:08:00,Astro,partner,Return to Owner,Neutered Male
2 years,A683086,Dog,Australian Kelpie Mix,Black/Brown,2011-12-07T00:00:00,2014-08-24T16:34:00,*Mini Cooper,partner,Adoption,Spayed Female
3 years,A679346,Dog,Pit Bull Mix,Blue/Tan,2011-05-19T00:00:00,2014-07-02T14:03:00,Houston,partner,Adoption,Neutered Male
4 years,A667627,Dog,Australian Shepherd Mix,Brown,2009-11-20T00:00:00,2014-07-19T11:51:00,Hotsauce,partner,Return to Owner,Spayed Female
1 year,A663910,Dog,Labrador Retriever,Chocolate,2012-09-26T00:00:00,2013-10-02T14:15:00,Lucy,Partner,Transfer,Neutered Male
1 month,A681970,Dog,Australian Cattle Dog Mix,Red Tick/Brown,2014-06-18T00:00:00,2014-08-13T17:44:00,*Allie,Foster,Adoption,Spayed Female
2 years,A672076,Dog,Boxer Mix,Black/White,2012-02-03T00:00:00,2014-04-20T16:40:00,Matilda,partner,Adoption,Spayed Female
3 months,A682304,Cat,Domestic Shorthair Mix,Black,2014-03-26T00:00:00,2014-06-29T17:50:00,Lucy,partner,Adoption,Neutered Male
4 months,A686093,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-04-07T00:00:00,2014-08-23T16:51:00,Mouse,Partner,Transfer,Spayed Female
2 months,A669478,Cat,Domestic Shorthair Mix,Orange Tabby,2013-10-30T00:00:00,2014-01-10T18:34:00,Ginger Peace,Foster,Adoption,Spayed Female
5 years,A679750,Dog,Weimaraner Mix,Chocolate,2009-05-25T00:00:00,2014-05-31T12:29:00,Shotzy,partner,Adoption,Spayed Female
1 month,A680397,Cat,Domestic Shorthair Mix,Blue,2014-05-04T00:00:00,2014-06-23T13:37:00,*Walt,Partner,Transfer,Intact Male
7 years,A664494,Cat,Domestic Longhair Mix,Tortie,2006-10-04T00:00:00,2013-10-12T19:19:00,*Flower,partner,Adoption,Spayed Female
2 years,A665549,Cat,Domestic Shorthair Mix,White/Brown Tabby,2011-10-19T00:00:00,2013-11-02T12:47:00,Bella,partner,Adoption,Spayed Female
6 years,A495792,Cat,Domestic Shorthair Mix,White/Brown Tabby,2007-10-13T00:00:00,2014-08-23T18:15:00,Macintosh,partner,Adoption,Neutered Male
2 months,A666661,Cat,Domestic Shorthair Mix,White/Black,2013-09-13T00:00:00,2013-12-08T19:19:00,*Darwin,Foster,Adoption,Neutered Male
1 year,A665577,Dog,Norwich Terrier Mix,Tan,2012-10-19T00:00:00,2013-10-24T18:25:00,Lucy,partner,Adoption,Neutered Male
1 year,A677138,Other,Raccoon,Gray/Black,2013-01-20T00:00:00,2014-04-20T10:55:00,Lucy,Medical,Euthanasia,Unknown
2 months,A669137,Cat,Domestic Shorthair Mix,Torbie,2013-10-24T00:00:00,2013-12-28T16:17:00,*Minnie,partner,Adoption,Intact Female
2 years,A646538,Dog,Alaskan Husky Mix,Cream/Gray,2011-09-25T00:00:00,2014-04-27T18:39:00,Snow,partner,Adoption,Spayed Female
2 weeks,A684384,Cat,Domestic Shorthair Mix,Brown Tabby,2014-07-08T00:00:00,2014-07-22T18:55:00,Lucy,Partner,Transfer,Intact Female
9 months,A674342,Dog,Siberian Husky/Australian Cattle Dog,Black/Tan,2013-06-11T00:00:00,2014-03-14T11:09:00,Xeon,Partner,Transfer,Intact Female
6 years,A666966,Dog,Golden Retriever Mix,Gold,2007-11-10T00:00:00,2013-11-10T14:56:00,Marley,partner,Return to Owner,Neutered Male
3 months,A683578,Cat,Domestic Shorthair Mix,Cream Tabby,2014-04-12T00:00:00,2014-07-16T17:05:00,Lucy,partner,Adoption,Neutered Male
6 years,A678602,Dog,Border Collie Mix,White/Black,2008-05-10T00:00:00,2014-05-17T13:51:00,Destin,Partner,Transfer,Neutered Male
1 weeks,A686525,Cat,Domestic Shorthair Mix,Brown Tabby,2014-08-14T00:00:00,2014-08-26T14:43:00,Lucy,Partner,Transfer,Intact Female
2 years,A673342,Dog,Dachshund Mix,Brown Brindle/White,2012-02-22T00:00:00,2014-02-27T16:14:00,*Mcenroe,partner,Adoption,Neutered Male
3 weeks,A683040,Cat,Domestic Shorthair Mix,Brown Tabby,2014-06-14T00:00:00,2014-07-06T13:48:00,Lucy,Partner,Transfer,Intact Female
1 year,A673569,Cat,Domestic Shorthair Mix,Black,2013-02-26T00:00:00,2014-02-27T15:18:00,Lucy,SCRP,Transfer,Unknown
4 weeks,A668595,Dog,Chihuahua Shorthair Mix,Tricolor,2013-11-13T00:00:00,2013-12-13T11:41:00,Lucy,partner,Return to Owner,Intact Male
4 years,A682446,Cat,Domestic Shorthair Mix,Brown Tabby,2010-06-27T00:00:00,2014-07-14T17:06:00,Crybaby,partner,Adoption,Neutered Male
1 year,A676864,Dog,Dachshund Wirehair/Chihuahua Shorthair,Tan,2013-04-16T00:00:00,2014-04-20T19:09:00,Murphy,partner,Adoption,Neutered Male
1 year,A675237,Dog,Dachshund Mix,Brown/White,2013-03-25T00:00:00,2014-03-30T16:58:00,Lucy,partner,Adoption,Neutered Male
1 month,A664557,Dog,Chinese Sharpei Mix,Black/White,2013-10-01T00:00:00,2013-11-28T09:20:00,Kyrie,Foster,Adoption,Spayed Female
2 months,A681476,Cat,Domestic Shorthair Mix,White/Orange Tabby,2014-04-22T00:00:00,2014-07-12T16:14:00,Skittles,partner,Adoption,Neutered Male
3 months,A677836,Cat,Domestic Shorthair Mix,Black/White,2014-03-29T00:00:00,2014-07-12T11:43:00,Lucy,Foster,Adoption,Spayed Female
9 months,A671525,Dog,Chihuahua Shorthair/Cardigan Welsh Corgi,Black,2013-04-26T00:00:00,2014-01-31T12:50:00,Crystal,partner,Adoption,Spayed Female
1 year,A663168,Dog,Catahoula Mix,Brown Merle,2012-03-13T00:00:00,2013-10-14T18:44:00,Archer,partner,Return to Owner,Neutered Male
1 year,A666241,Dog,Boxer,Brown/White,2012-05-29T00:00:00,2013-11-10T12:42:00,Daisy,partner,Adoption,Spayed Female
1 year,A635769,Cat,Domestic Shorthair Mix,Brown Tabby/White,2012-05-12T00:00:00,2013-10-28T12:30:00,Lucy,partner,Return to Owner,Spayed Female
2 months,A671599,Dog,Pit Bull Mix,Black Brindle/White,2013-11-12T00:00:00,2014-02-04T14:06:00,Crystal,Partner,Transfer,Intact Female
2 years,A682764,Cat,Domestic Shorthair Mix,Blue Tabby,2012-07-02T00:00:00,2014-07-02T16:29:00,Tica,partner,Return to Owner,Spayed Female
6 years,A670679,Dog,Australian Cattle Dog Mix,White/Tan,2008-01-12T00:00:00,2014-01-16T17:02:00,Lucy,partner,Adoption,Neutered Male
5 years,A683688,Dog,Boxer,Brown Brindle/White,2009-07-21T00:00:00,2014-07-23T13:16:00,Chunk,partner,Return to Owner,Intact Male
3 weeks,A686932,Cat,Domestic Shorthair Mix,Black/White,2014-08-07T00:00:00,2014-08-29T12:03:00,Lucy,Partner,Transfer,Intact Male
2 months,A669611,Dog,Labrador Retriever Mix,Black/White,2013-10-23T00:00:00,2013-12-24T11:16:00,Lucy,Partner,Transfer,Intact Female
1 year,A685334,Dog,Border Collie/Labrador Retriever,Red/White,2013-08-05T00:00:00,2014-08-11T15:16:00,*Merida,Partner,Transfer,Spayed Female
2 months,A668562,Cat,Domestic Shorthair Mix,Orange Tabby,2013-10-05T00:00:00,2013-12-13T18:13:00,Prof Butters,partner,Adoption,Intact Female
2 months,A664658,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-08-16T00:00:00,2013-11-02T18:16:00,*Trey,partner,Adoption,Neutered Male
4 years,A679881,Dog,Australian Shepherd Mix,Black/Brown,2010-05-27T00:00:00,2014-06-21T18:09:00,*Thurgood,partner,Adoption,Neutered Male
1 weeks,A678103,Cat,Domestic Shorthair Mix,Buff,2014-04-25T00:00:00,2014-05-04T17:28:00,Lucy,Partner,Transfer,Intact Male
4 years,A678110,Other,Rabbit Sh Mix,Black,2010-05-04T00:00:00,2014-06-01T12:16:00,*Mr.Black,Partner,Transfer,Intact Male
3 years,A678697,Dog,Yorkshire Terrier Mix,Tan/Silver,2011-05-12T00:00:00,2014-05-17T18:54:00,Lucy,Partner,Transfer,Spayed Female
1 year,A669591,Cat,Domestic Shorthair Mix,Black/White,2012-12-23T00:00:00,2013-12-28T16:21:00,Lucy,SCRP,Transfer,Intact Male
3 years,A670044,Cat,Domestic Shorthair Mix,Blue,2011-01-01T00:00:00,2014-01-01T13:13:00,Lucy,Suffering,Euthanasia,Intact Male
4 years,A684556,Dog,Black Mouth Cur/German Shepherd,Brown/Black,2010-07-25T00:00:00,2014-08-02T11:59:00,Lucy,Partner,Transfer,Intact Male
2 years,A669460,Dog,Pomeranian/Border Terrier,Buff,2011-12-21T00:00:00,2013-12-24T15:46:00,Pancho,partner,Adoption,Neutered Male
3 months,A683766,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-15T00:00:00,2014-08-07T18:44:00,Scout,partner,Adoption,Spayed Female
4 weeks,A666071,Cat,Domestic Shorthair Mix,Brown Tabby,2013-09-26T00:00:00,2013-10-30T15:14:00,*June,Partner,Transfer,Intact Female
8 months,A671437,Cat,Domestic Shorthair Mix,Brown Tabby,2013-05-24T00:00:00,2014-01-27T16:26:00,Lucy,SCRP,Transfer,Unknown
5 months,A673875,Other,Bat Mix,Brown,2013-09-03T00:00:00,2014-03-04T09:07:00,Lucy,Rabies Risk,Euthanasia,Unknown
3 weeks,A686173,Dog,Australian Kelpie Mix,Black/White,2014-07-24T00:00:00,2014-08-20T14:06:00,Lucy,Partner,Transfer,Intact Female
3 months,A664071,Cat,Domestic Shorthair Mix,White/Black,2013-07-06T00:00:00,2013-10-09T13:16:00,Lucy,Partner,Transfer,Neutered Male
5 years,A681011,Dog,Boston Terrier Mix,Brown Brindle/White,2009-06-11T00:00:00,2014-06-19T15:01:00,Ada,Partner,Transfer,Spayed Female
2 months,A682681,Cat,Domestic Shorthair Mix,Black/White,2014-04-24T00:00:00,2014-07-08T14:49:00,Lucy,Partner,Transfer,Neutered Male
2 months,A681587,Dog,Australian Shepherd/Plott Hound,Brown Brindle/White,2014-04-18T00:00:00,2014-06-22T17:31:00,Lucy,partner,Adoption,Spayed Female
2 months,A669831,Dog,German Shepherd Mix,Cream,2013-10-21T00:00:00,2013-12-28T14:07:00,Lucy,Partner,Transfer,Intact Male
4 months,A671560,Dog,Pointer Mix,White/Brown,2013-09-27T00:00:00,2014-02-10T17:14:00,Gus,Partner,Transfer,Neutered Male
10 months,A681616,Dog,Chihuahua Shorthair Mix,White/Brown Brindle,2013-08-18T00:00:00,2014-06-23T17:08:00,Lucy,partner,Adoption,Spayed Female
4 months,A676129,Dog,Miniature Poodle Mix,White,2013-12-06T00:00:00,2014-04-07T18:43:00,Ruby,partner,Return to Owner,Spayed Female
3 years,A665565,Dog,Chihuahua Shorthair Mix,Red/White,2010-10-19T00:00:00,2013-11-21T13:48:00,Pickles,Partner,Transfer,Spayed Female
2 months,A669363,Cat,Domestic Longhair Mix,White/Black,2013-10-12T00:00:00,2014-01-04T14:04:00,Stephanie,partner,Adoption,Spayed Female
1 month,A682868,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-05-28T00:00:00,2014-07-08T11:49:00,Lucy,Partner,Transfer,Intact Male
4 months,A680091,Cat,Domestic Shorthair Mix,Tortie,2014-01-29T00:00:00,2014-06-14T13:53:00,*Chloe,partner,Adoption,Spayed Female
7 years,A537127,Dog,Miniature Poodle Mix,Chocolate,2007-03-09T00:00:00,2014-07-10T13:13:00,Fozzy Bear,partner,Return to Owner,Neutered Male
2 months,A662820,Cat,Domestic Shorthair Mix,Black,2013-07-18T00:00:00,2013-10-04T12:54:00,*Indigo,partner,Adoption,Spayed Female
1 month,A664211,Cat,Domestic Medium Hair,Blue Tabby,2013-08-30T00:00:00,2013-10-17T15:34:00,*Arnold,Partner,Transfer,Intact Male
2 years,A682721,Dog,Chow Chow Mix,Buff,2012-07-02T00:00:00,2014-07-07T11:19:00,Gunner,partner,Return to Owner,Neutered Male
3 years,A667023,Dog,Miniature Poodle,White,2010-11-11T00:00:00,2013-12-11T11:11:00,Yeti,Foster,Adoption,Spayed Female
1 year,A685041,Other,Bat,Brown,2013-08-01T00:00:00,2014-08-01T15:05:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 year,A669526,Other,Bat Mix,Brown,2012-12-21T00:00:00,2013-12-22T09:20:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 years,A676355,Dog,Pit Bull Mix,Brown/White,2012-04-08T00:00:00,2014-04-25T16:04:00,*Farley,Aggressive,Euthanasia,Neutered Male
2 years,A671162,Other,Bat,Brown/Black,2012-01-20T00:00:00,2014-01-20T08:08:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 year,A672214,Dog,Labrador Retriever/Border Collie,White/Black,2012-08-05T00:00:00,2014-02-13T16:57:00,Lucy,Partner,Transfer,Spayed Female
10 months,A684402,Dog,German Shepherd Mix,Tricolor,2013-09-23T00:00:00,2014-08-11T12:01:00,Alfonso,partner,Adoption,Neutered Male
3 years,A679994,Other,Bat,Brown,2011-05-28T00:00:00,2014-05-28T17:48:00,Lucy,partner,Died,Unknown
10 years,A684205,Dog,Miniature Schnauzer Mix,Buff,2004-07-23T00:00:00,2014-07-23T13:20:00,Casper,partner,Return to Owner,Neutered Male
6 years,A672295,Cat,Domestic Longhair Mix,Brown Tabby,2008-02-07T00:00:00,2014-02-08T14:32:00,Lucy,SCRP,Transfer,Intact Male
1 year,A668670,Other,Raccoon Mix,Gray/Black,2012-12-06T00:00:00,2013-12-06T18:32:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 week,A685368,Cat,Domestic Shorthair Mix,Calico,2014-07-30T00:00:00,2014-08-06T15:42:00,Lucy,Partner,Transfer,Intact Female
1 year,A673237,Dog,Chihuahua Longhair Mix,Buff,2012-08-20T00:00:00,2014-02-25T17:55:00,*Potato,partner,Adoption,Neutered Male
10 months,A665144,Dog,Boxer Mix,Brown Brindle/White,2012-12-14T00:00:00,2013-10-16T18:31:00,Lucy,Partner,Transfer,Intact Male
3 years,A667339,Dog,Doberman Pinsch Mix,Blue/Tan,2010-12-19T00:00:00,2013-12-21T17:44:00,Maximus,partner,Return to Owner,Neutered Male
2 years,A680257,Cat,Domestic Shorthair Mix,Blue Tabby/Black,2012-05-31T00:00:00,2014-05-31T14:50:00,Lucy,Suffering,Euthanasia,Intact Male
1 year,A674127,Dog,Cairn Terrier Mix,Black/Tan,2013-03-07T00:00:00,2014-03-13T15:21:00,*Carlotta,Partner,Transfer,Spayed Female
5 years,A665309,Dog,Australian Shepherd Mix,White/Orange,2008-10-16T00:00:00,2013-11-16T13:55:00,*Helio,Partner,Transfer,Neutered Male
2 years,A683833,Dog,Cairn Terrier Mix,Brown Brindle,2012-07-15T00:00:00,2014-07-21T08:46:00,Lucy,Rabies Risk,Euthanasia,Intact Female
3 years,A658510,Dog,Great Pyrenees/German Shepherd,White/Cream,2010-07-11T00:00:00,2013-12-15T11:55:00,Katrina,partner,Adoption,Spayed Female
2 months,A684609,Cat,Domestic Shorthair Mix,White/Blue,2014-05-26T00:00:00,2014-07-30T17:20:00,Lucy,partner,Adoption,Spayed Female
1 year,A685175,Dog,American Bulldog Mix,White/Brown,2013-02-03T00:00:00,2014-08-18T14:15:00,She-Ra,partner,Adoption,Spayed Female
6 years,A671476,Cat,Russian Blue Mix,Blue,2008-01-25T00:00:00,2014-02-05T08:12:00,Smokey,Partner,Transfer,Spayed Female
10 months,A667017,Dog,Redbone Hound Mix,Red/White,2013-01-22T00:00:00,2013-11-27T16:46:00,Lucy,partner,Adoption,Spayed Female
2 years,A678174,Dog,Pit Bull Mix,Red/White,2012-05-05T00:00:00,2014-05-15T18:30:00,Scarlet Rose,partner,Return to Owner,Intact Female
4 months,A673606,Cat,Domestic Shorthair Mix,Blue Tabby,2013-12-22T00:00:00,2014-05-22T16:57:00,Gracie,partner,Adoption,Spayed Female
14 years,A685700,Dog,American Eskimo Mix,Tan,2000-08-17T00:00:00,2014-08-17T14:58:00,*Summerlee,Suffering,Euthanasia,Spayed Female
2 months,A678783,Cat,Domestic Shorthair Mix,Black,2014-03-28T00:00:00,2014-06-05T15:20:00,Ethel,partner,Adoption,Spayed Female
3 years,A674702,Dog,Chihuahua Shorthair Mix,Tan,2011-03-17T00:00:00,2014-03-17T09:21:00,Lucy,Suffering,Euthanasia,Intact Male
4 months,A669227,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-08-17T00:00:00,2013-12-18T14:00:00,Lucy,SCRP,Transfer,Unknown
1 year,A679873,Dog,Yorkshire Terrier Mix,Tan,2013-05-27T00:00:00,2014-06-01T14:58:00,Red,Partner,Transfer,Spayed Female
2 weeks,A674636,Cat,Domestic Shorthair Mix,Brown Tabby,2014-03-01T00:00:00,2014-03-16T14:37:00,Lucy,Partner,Transfer,Intact Male
1 year,A678877,Other,Raccoon Mix,Black/White,2013-05-13T00:00:00,2014-05-13T17:12:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 years,A679010,Cat,Angora Mix,White,2012-05-15T00:00:00,2014-05-17T11:32:00,Chrissy,Partner,Transfer,Intact Female
1 month,A678670,Cat,Domestic Shorthair Mix,Brown Tabby,2014-05-21T00:00:00,2014-07-19T13:47:00,Chiquita,partner,Adoption,Spayed Female
1 year,A668896,Cat,Domestic Shorthair Mix,Black/White,2012-07-11T00:00:00,2013-12-11T18:37:00,Sofie,partner,Return to Owner,Spayed Female
2 months,A685063,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-06-04T00:00:00,2014-08-05T13:20:00,Lucy,partner,Adoption,Neutered Male
8 months,A683471,Cat,Domestic Shorthair Mix,Black/White,2013-11-10T00:00:00,2014-07-25T18:01:00,Frida,partner,Adoption,Spayed Female
2 months,A681904,Cat,Domestic Medium Hair Mix,Black/White,2014-04-21T00:00:00,2014-06-29T14:59:00,Izzy,partner,Adoption,Intact Female
3 weeks,A678741,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-04-18T00:00:00,2014-05-12T15:57:00,Lucy,Partner,Transfer,Intact Female
3 years,A673840,Other,Bat Mix,Brown,2011-03-03T00:00:00,2014-03-03T16:54:00,Lucy,partner,Euthanasia,Unknown
1 year,A667094,Dog,Chihuahua Shorthair Mix,Tan,2012-11-12T00:00:00,2013-11-13T18:08:00,Lucy,Suffering,Euthanasia,Intact Male
4 years,A675725,Cat,Domestic Shorthair Mix,Tortie/Blue Cream,2010-04-18T00:00:00,2014-04-20T15:47:00,Rosie,Foster,Adoption,Spayed Female
1 year,A682562,Dog,Blue Lacy Mix,Tan/White,2013-06-29T00:00:00,2014-07-12T17:49:00,*Tex,partner,Adoption,Neutered Male
2 months,A682797,Cat,Domestic Shorthair Mix,Orange Tabby,2014-05-03T00:00:00,2014-07-08T15:25:00,*Starburst,Partner,Transfer,Intact Female
4 months,A683674,Dog,Anatol Shepherd Mix,Tan/Black,2014-03-13T00:00:00,2014-07-17T16:48:00,Pearl,partner,Adoption,Spayed Female
3 months,A679712,Dog,Labrador Retriever Mix,Chocolate,2014-03-25T00:00:00,2014-07-21T17:43:00,*Lolly,partner,Adoption,Spayed Female
1 weeks,A665002,Dog,Australian Cattle Dog Mix,Sable/White,2013-10-05T00:00:00,2013-10-15T14:33:00,Lucy,Partner,Transfer,Intact Female
9 years,A684598,Dog,Labrador Retriever/Basset Hound,Tan/White,2005-07-28T00:00:00,2014-07-28T16:07:00,Teddy,partner,Return to Owner,Neutered Male
3 days,A671469,Cat,Domestic Shorthair Mix,Blue Cream,2014-01-22T00:00:00,2014-01-25T10:29:00,Lucy,Medical,Euthanasia,Intact Male
9 years,A341599,Cat,Domestic Shorthair Mix,Black,2004-01-18T00:00:00,2014-01-11T11:05:00,Reece,Partner,Transfer,Neutered Male
3 days,A676021,Cat,Domestic Shorthair Mix,Black Tabby,2014-03-31T00:00:00,2014-04-03T15:47:00,Lucy,Partner,Transfer,Intact Female
2 months,A663723,Cat,Domestic Shorthair Mix,Brown Tabby,2013-07-16T00:00:00,2013-10-09T16:42:00,Tornado,Partner,Transfer,Neutered Male
1 month,A680556,Cat,Domestic Shorthair,Blue,2014-04-12T00:00:00,2014-06-09T18:46:00,Lucy,partner,Adoption,Neutered Male
6 years,A681307,Cat,Domestic Shorthair Mix,Brown Tabby/White,2008-06-14T00:00:00,2014-07-26T13:40:00,*Scarlet,partner,Adoption,Spayed Female
1 year,A683215,Cat,Domestic Shorthair Mix,Brown Tabby,2013-07-08T00:00:00,2014-07-21T10:41:00,X,Partner,Transfer,Neutered Male
2 years,A674220,Dog,Pit Bull Mix,Blue/White,2012-03-09T00:00:00,2014-04-06T14:57:00,Buster,partner,Adoption,Neutered Male
1 year,A675140,Cat,Domestic Shorthair Mix,Brown Tabby,2013-03-25T00:00:00,2014-03-25T16:32:00,Garden,partner,Return to Owner,Spayed Female
4 months,A664368,Dog,German Shepherd Mix,Brown/Black,2013-06-02T00:00:00,2013-10-02T16:51:00,Zeus,partner,Return to Owner,Intact Male
7 years,A665741,Cat,Domestic Shorthair Mix,Brown Tabby,2006-10-22T00:00:00,2013-10-24T15:44:00,Leia,Partner,Transfer,Spayed Female
1 month,A662906,Cat,Domestic Shorthair Mix,Blue,2013-08-10T00:00:00,2013-10-06T12:51:00,Stanley,Offsite,Adoption,Neutered Male
4 years,A611931,Dog,Pit Bull Mix,Blue/White,2009-10-13T00:00:00,2014-02-22T17:16:00,Sexy,Aggressive,Euthanasia,Intact Female
1 year,A669589,Other,Raccoon Mix,Brown/Black,2012-12-23T00:00:00,2013-12-23T15:52:00,Lucy,Rabies Risk,Euthanasia,Unknown
3 months,A686520,Cat,Domestic Shorthair Mix,Brown Tabby,2014-05-23T00:00:00,2014-08-24T09:00:00,Lucy,SCRP,Transfer,Intact Male
3 years,A676261,Dog,Chihuahua Longhair Mix,White/Brown,2011-04-07T00:00:00,2014-04-09T17:53:00,Chato,partner,Adoption,Neutered Male
3 days,A664549,Cat,Manx Mix,Tortie,2013-10-02T00:00:00,2013-10-05T12:20:00,Lucy,Partner,Transfer,Intact Female
9 months,A676170,Cat,Domestic Shorthair Mix,Orange Tabby,2013-07-05T00:00:00,2014-04-14T16:23:00,Chuy,Partner,Transfer,Neutered Male
2 weeks,A679244,Cat,Domestic Shorthair Mix,Black,2014-05-02T00:00:00,2014-05-17T18:40:00,Lucy,Partner,Transfer,Intact Female
2 months,A669543,Dog,Labrador Retriever/German Shepherd,Chocolate,2013-10-22T00:00:00,2013-12-24T15:41:00,Harley,partner,Adoption,Neutered Male
2 years,A673233,Other,Bat,Brown,2012-02-20T00:00:00,2014-02-20T16:09:00,Lucy,Rabies Risk,Euthanasia,Unknown
8 months,A673869,Dog,Australian Shepherd Mix,White/Black,2013-07-03T00:00:00,2014-03-11T13:53:00,Sweetie Pie,partner,Adoption,Spayed Female
5 years,A679058,Dog,Labrador Retriever Mix,Black/Brown,2009-05-16T00:00:00,2014-05-16T12:50:00,Penelope,partner,Return to Owner,Spayed Female
4 months,A668890,Dog,Beagle Mix,Red/White,2013-08-11T00:00:00,2013-12-16T12:25:00,Lucy,Partner,Transfer,Spayed Female
3 years,A676345,Dog,Norfolk Terrier/Yorkshire Terrier,Tan/Black,2011-04-08T00:00:00,2014-08-05T08:12:00,Parker,Aggressive,Euthanasia,Neutered Male
1 year,A684329,Dog,Miniature Schnauzer Mix,Black/Brown,2013-07-22T00:00:00,2014-08-02T18:33:00,Edgar,partner,Adoption,Neutered Male
2 years,A678460,Cat,Domestic Shorthair Mix,Orange Tabby,2012-05-09T00:00:00,2014-05-09T12:58:00,Lucy,SCRP,Transfer,Intact Female
2 months,A666785,Cat,Domestic Shorthair Mix,Orange Tabby,2013-09-30T00:00:00,2013-12-20T17:00:00,*Willow,Foster,Adoption,Spayed Female
